year,sp500_us_total_return,portfolio_100_0_synthetic,portfolio_70_30_synthetic,portfolio_50_50_synthetic,portfolio_30_70_synthetic,portfolio_15_85_synthetic,balanced_60_40_synthetic,conservative_40_60_synthetic,months_observed,source
1886,0.13200312,0.13200312,0.10140219,0.08100156,0.06060094,0.04530047,0.09120187,0.07080125,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1887,-0.02490071,-0.02490071,-0.00843049,0.00254965,0.01352979,0.02176489,-0.00294042,0.00803972,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1888,0.02113040,0.02113040,0.02379128,0.02556520,0.02733912,0.02866956,0.02467824,0.02645216,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1889,0.07948013,0.07948013,0.06463609,0.05474007,0.04484404,0.03742202,0.05968808,0.04979205,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1890,-0.09839988,-0.09839988,-0.05987991,-0.03419994,-0.00851996,0.01074002,-0.04703993,-0.02135995,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1891,0.22869001,0.22869001,0.16908300,0.12934500,0.08960700,0.05980350,0.14921400,0.10947600,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1892,0.06166392,0.06166392,0.05216474,0.04583196,0.03949918,0.03474959,0.04899835,0.04266557,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1893,-0.15703959,-0.15703959,-0.10092771,-0.06351979,-0.02611188,0.00194406,-0.08222375,-0.04481583,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1894,0.02704430,0.02704430,0.02793101,0.02852215,0.02911329,0.02955664,0.02822658,0.02881772,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1895,0.04992898,0.04992898,0.04395029,0.03996449,0.03597869,0.03298935,0.04195739,0.03797159,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1896,0.02026550,0.02026550,0.02318585,0.02513275,0.02707965,0.02853983,0.02415930,0.02610620,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1897,0.17219297,0.17219297,0.12953508,0.10109649,0.07265789,0.05132895,0.11531578,0.08687719,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1898,0.23526391,0.23526391,0.17368473,0.13263195,0.09157917,0.06078959,0.15315834,0.11210556,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1899,0.10076260,0.10076260,0.07953382,0.06538130,0.05122878,0.04061439,0.07245756,0.05830504,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1900,0.19015344,0.19015344,0.14210741,0.11007672,0.07804603,0.05402302,0.12609206,0.09406137,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1901,0.20398904,0.20398904,0.15179233,0.11699452,0.08219671,0.05609836,0.13439343,0.09959562,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1902,0.05240657,0.05240657,0.04568460,0.04120328,0.03672197,0.03336098,0.04344394,0.03896263,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1903,-0.14389806,-0.14389806,-0.09172864,-0.05694903,-0.02216942,0.00391529,-0.07433883,-0.03955922,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1904,0.31608732,0.31608732,0.23026112,0.17304366,0.11582620,0.07291310,0.20165239,0.14443493,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1905,0.19837106,0.19837106,0.14785974,0.11418553,0.08051132,0.05525566,0.13102264,0.09734843,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1906,0.07156093,0.07156093,0.05909265,0.05078046,0.04246828,0.03623414,0.05493656,0.04662437,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1907,-0.29477010,-0.29477010,-0.19733907,-0.13238505,-0.06743103,-0.01871551,-0.16486206,-0.09990804,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1908,0.45116182,0.45116182,0.32481328,0.24058091,0.15634855,0.09317427,0.28269709,0.19846473,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1909,0.19124489,0.19124489,0.14287142,0.11062244,0.07837347,0.05418673,0.12674693,0.09449796,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1910,-0.07743055,-0.07743055,-0.04520138,-0.02371527,-0.00222916,0.01388542,-0.03445833,-0.01297222,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1911,0.05913050,0.05913050,0.05039135,0.04456525,0.03873915,0.03436957,0.04747830,0.04165220,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1912,0.08224288,0.08224288,0.06657002,0.05612144,0.04567286,0.03783643,0.06134573,0.05089715,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1913,-0.09312688,-0.09312688,-0.05618881,-0.03156344,-0.00693806,0.01153097,-0.04387613,-0.01925075,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1914,-0.03296667,-0.03296667,-0.01407667,-0.00148333,0.01111000,0.02055500,-0.00778000,0.00481333,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
1915,0.35779901,0.35779901,0.25945931,0.19389951,0.12833970,0.07916985,0.22667941,0.16111960,12,"S&P series (datasets/s-and-p-500, Shiller-based)"
